,Płeć,Kategoria wiekowa,Rocznik,Czas_na_5km,Czas_na_10km,Czas_na_15km,Czas_półmaratonu,Wiek
7974,1,7,1990,1962,4037,6678,10335,34
7893,0,1,1990,2151,4397,6773,9984,34
7799,0,1,1990,1900,4082,6460,9787,34
7756,1,7,1990,1803,3894,6331,9656,34
7736,1,7,1990,2074,4215,6507,9614,34
7649,0,1,1990,1983,4063,6346,9454,34
7614,0,1,1990,2026,4056,6172,9382,34
7556,1,7,1990,2059,4157,6404,9307,34
7519,1,7,1990,1954,4007,6251,9252,34
7490,1,7,1990,2103,4263,6450,9223,34
7478,1,7,1990,2151,4129,6219,9212,34
7432,0,1,1990,1825,3892,6123,9174,34
7402,0,1,1990,2089,4223,6418,9146,34
7365,0,1,1990,1972,3973,6181,9102,34
7334,0,1,1990,1866,3912,6192,9063,34
7331,1,7,1990,1953,3970,6207,9061,34
7305,0,1,1990,1856,4001,6124,9036,34
7295,0,1,1990,2035,4051,6158,9030,34
7293,1,7,1990,2033,4047,6159,9027,34
7292,0,1,1990,1963,3920,6083,9027,34
7216,0,1,1990,2145,4250,6411,8968,34
7209,0,1,1990,1962,3985,6152,8959,34
7201,0,1,1990,1894,3907,6096,8943,34
7178,1,7,1990,1897,3867,5992,8922,34
7132,0,1,1990,1734,3656,5828,8872,34
7070,0,1,1990,2049,4087,6196,8824,34
7031,0,1,1990,1806,3750,5917,8778,34
7017,0,1,1990,1933,3885,6007,8762,34
7000,1,7,1990,1452,3274,5485,8746,34
6978,0,1,1990,1875,3810,5913,8725,34
6915,0,1,1990,1808,3647,5685,8678,34
6908,0,1,1990,1786,3729,5803,8674,34
6905,0,1,1990,1905,3914,6006,8672,34
6878,0,1,1990,1773,3626,5793,8655,34
6842,0,1,1990,2043,4073,6133,8632,34
6818,1,7,1990,1793,3658,5725,8605,34
6797,0,1,1990,2002,3944,6015,8587,34
6789,0,1,1990,1798,3791,5888,8582,34
6779,0,1,1990,2013,3971,6026,8578,34
6675,1,7,1990,1999,3943,5861,8489,34
6652,0,1,1990,1966,3911,5933,8472,34
6592,0,1,1990,1743,3448,5367,8433,34
6535,1,7,1990,1713,3520,5528,8388,34
6525,0,1,1990,1825,3675,5676,8378,34
6518,0,1,1990,1833,3715,5726,8376,34
6486,1,7,1990,1749,3662,5682,8349,34
6460,1,7,1990,1950,3820,5830,8327,34
6438,1,7,1990,1959,3850,5829,8310,34
6431,0,1,1990,1995,4022,5965,8304,34
6403,1,7,1990,1957,3869,5843,8283,34
6348,0,1,1990,1822,3700,5648,8246,34
6344,0,1,1990,1723,3593,5604,8242,34
6319,1,7,1990,1803,3585,5527,8229,34
6308,1,7,1990,1899,3769,5772,8223,34
6306,1,7,1990,1814,3638,5596,8222,34
6302,1,7,1990,1816,3620,5554,8219,34
6297,0,1,1990,1939,3893,5819,8215,34
6264,1,7,1990,1972,3872,5836,8192,34
6197,1,7,1990,1738,3500,5429,8143,34
6146,0,1,1990,1821,3646,5555,8107,34
6098,0,1,1990,1927,3747,5666,8082,34
6095,1,7,1990,1802,3565,5496,8080,34
6061,1,7,1990,1989,3756,5660,8062,34
6035,0,1,1990,1688,3512,5452,8046,34
6007,1,7,1990,1727,3493,5438,8034,34
5991,1,7,1990,1735,3561,5511,8026,34
5985,0,1,1990,1722,3458,5348,8024,34
5896,0,1,1990,1808,3617,5532,7982,34
5856,0,1,1990,1810,3596,5481,7963,34
5839,0,1,1990,1838,3681,5570,7955,34
5832,1,7,1990,1680,3484,5290,7952,34
5740,0,1,1990,1908,3682,5482,7902,34
5735,1,7,1990,1557,3220,5116,7900,34
5655,1,7,1990,1810,3610,5474,7857,34
5648,1,7,1990,1749,3512,5409,7854,34
5622,1,7,1990,1690,3435,5300,7838,34
5620,0,1,1990,1803,3625,5529,7838,34
5587,0,1,1990,1845,3593,5449,7822,34
5576,0,1,1990,1751,3546,5368,7816,34
5562,1,7,1990,1700,3418,5348,7810,34
5557,1,7,1990,1590,3342,5235,7808,34
5519,0,1,1990,1831,3585,5413,7791,34
5500,1,7,1990,1825,3655,5506,7784,34
5498,1,7,1990,1791,3583,5439,7783,34
5465,0,1,1990,1761,3562,5454,7771,34
5456,1,7,1990,1647,3334,5199,7765,34
5449,1,7,1990,1839,3605,5428,7761,34
5444,1,7,1990,1762,3454,5191,7760,34
5438,1,7,1990,1628,3311,5156,7757,34
5402,0,1,1990,1783,3582,5450,7737,34
5377,1,7,1990,1608,3302,5163,7730,34
5371,1,7,1990,1803,3571,5411,7725,34
5318,1,7,1990,1555,3139,4943,7701,34
5278,0,1,1990,1746,3468,5252,7685,34
5211,0,1,1990,1644,3368,5240,7658,34
5208,0,1,1990,1648,3378,5199,7657,34
5207,0,1,1990,1647,3342,5211,7657,34
5205,1,7,1990,1758,3495,5311,7656,34
5139,0,1,1990,1698,3381,5228,7624,34
5124,0,1,1990,1766,3548,5358,7617,34
5103,1,7,1990,1656,3406,5222,7602,34
4935,1,7,1990,1578,3219,5034,7530,34
4913,0,1,1990,1663,3344,5132,7521,34
4871,1,7,1990,1694,3454,5213,7510,34
4866,1,7,1990,1678,3352,5082,7509,34
4792,0,1,1990,1726,3402,5166,7478,34
4773,0,1,1990,1660,3397,5167,7469,34
4751,1,7,1990,1593,3180,5078,7463,34
4749,1,7,1990,1769,3558,5313,7462,34
4706,1,7,1990,1641,3293,5058,7447,34
4655,1,7,1990,1708,3377,5140,7428,34
4652,1,7,1990,1604,3298,5099,7427,34
4635,1,7,1990,1721,3411,5149,7419,34
4627,1,7,1990,1665,3338,5104,7414,34
4556,1,7,1990,1577,3222,5007,7386,34
4481,1,7,1990,1724,3369,5130,7354,34
4473,1,7,1990,1714,3381,5133,7351,34
4472,1,7,1990,1663,3329,5094,7351,34
4426,1,7,1990,1747,3486,5219,7334,34
4392,1,7,1990,1697,3387,5101,7320,34
4377,1,7,1990,1643,3364,5059,7314,34
4324,1,7,1990,1739,3431,5147,7293,34
4279,1,7,1990,1650,3317,5060,7280,34
4260,1,7,1990,1616,3277,4951,7272,34
4231,0,1,1990,1735,3391,5097,7263,34
4171,1,7,1990,1508,3148,4903,7239,34
4076,1,7,1990,1606,3237,4959,7211,34
4068,1,7,1990,1739,3408,5089,7209,34
4061,0,1,1990,1648,3337,5067,7206,34
4046,1,7,1990,1671,3323,5012,7201,34
4037,1,7,1990,1439,3027,4784,7198,34
4028,1,7,1990,1777,3460,5167,7195,34
4022,1,7,1990,1776,3458,5164,7193,34
3993,0,1,1990,1676,3310,5019,7185,34
3967,1,7,1990,1670,3387,5107,7177,34
3945,0,1,1990,1657,3298,5007,7170,34
3922,1,7,1990,1650,3274,4950,7163,34
3848,1,7,1990,1599,3185,4834,7146,34
3829,1,7,1990,1631,3266,4967,7140,34
3608,0,1,1990,1668,3280,4963,7071,34
3602,1,7,1990,1519,3086,4802,7067,34
3574,0,1,1990,1646,3266,4971,7060,34
3565,1,7,1990,1510,3033,4676,7057,34
3438,1,7,1990,1660,3300,4961,7017,34
3406,1,7,1990,1755,3460,5006,7007,34
3352,0,1,1990,1632,3278,4964,6992,34
3290,1,7,1990,1600,3241,4860,6973,34
3271,1,7,1990,1643,3274,4927,6965,34
3216,1,7,1990,1551,3125,4771,6945,34
3213,1,7,1990,1578,3131,4778,6945,34
3212,1,7,1990,1492,2981,4578,6945,34
3209,1,7,1990,1530,3044,4689,6944,34
3194,0,1,1990,1641,3274,4962,6940,34
3176,1,7,1990,1487,3052,4800,6933,34
3172,1,7,1990,1602,3162,4801,6929,34
3154,0,1,1990,1656,3249,4885,6920,34
3012,1,7,1990,1552,3062,4626,6868,34
2841,1,7,1990,1591,3143,4766,6809,34
2787,0,1,1990,1492,3034,4643,6789,34
2753,1,7,1990,1534,3053,4646,6778,34
2742,1,7,1990,1602,3178,4765,6775,34
2722,1,7,1990,1595,3180,4817,6764,34
2720,0,1,1990,1573,3127,4729,6763,34
2711,1,7,1990,1584,3132,4705,6757,34
2701,1,7,1990,1564,3113,4695,6751,34
2700,0,1,1990,1479,2958,4552,6750,34
2696,1,7,1990,1508,3009,4601,6747,34
2690,1,7,1990,1565,3135,4721,6745,34
2650,0,1,1990,1570,3127,4715,6728,34
2627,1,7,1990,1588,3109,4691,6722,34
2619,1,7,1990,1383,2771,4354,6718,34
2594,0,1,1990,1557,3085,4687,6705,34
2584,0,1,1990,1580,3142,4752,6702,34
2555,1,7,1990,1600,3181,4821,6691,34
2517,0,1,1990,1510,3021,4613,6676,34
2448,1,7,1990,1422,2879,4481,6645,34
2407,0,1,1990,1516,3043,4620,6633,34
2401,1,7,1990,1442,2904,4492,6630,34
2359,0,1,1990,1491,2986,4583,6615,34
2358,1,7,1990,1533,3037,4602,6615,34
2349,1,7,1990,1573,3105,4669,6613,34
2340,0,1,1990,1511,3007,4588,6611,34
2305,1,7,1990,1552,3078,4665,6602,34
2235,1,7,1990,1516,3013,4535,6577,34
2124,1,7,1990,1503,2960,4510,6541,34
2096,1,7,1990,1495,2938,4465,6531,34
2055,0,1,1990,1546,3063,4629,6517,34
2029,1,7,1990,1506,2965,4487,6506,34
2023,0,1,1990,1541,3010,4539,6505,34
1998,1,7,1990,1470,2950,4506,6495,34
1976,1,7,1990,1538,3035,4551,6486,34
1952,1,7,1990,1491,2981,4518,6481,34
1894,1,7,1990,1492,2951,4471,6456,34
1890,0,1,1990,1504,2979,4534,6453,34
1854,1,7,1990,1527,3050,4556,6437,34
1840,1,7,1990,1461,2925,4464,6432,34
1738,1,7,1990,1451,2919,4438,6383,34
1712,1,7,1990,1455,2892,4445,6374,34
1709,1,7,1990,1451,2866,4384,6373,34
1693,1,7,1990,1372,2742,4215,6367,34
1677,1,7,1990,1466,2906,4416,6360,34
1671,1,7,1990,1458,2882,4411,6359,34
1655,0,1,1990,1367,2721,4248,6352,34
1591,1,7,1990,1444,2881,4380,6330,34
1559,0,1,1990,1450,2888,4385,6315,34
1554,0,1,1990,1440,2868,4367,6311,34
1517,1,7,1990,1474,2945,4458,6292,34
1516,1,7,1990,1499,2942,4452,6292,34
1501,1,7,1990,1309,2641,4178,6284,34
1494,1,7,1990,1304,2705,4210,6282,34
1491,1,7,1990,1490,3010,4472,6281,34
1482,1,7,1990,1453,2896,4381,6276,34
1420,1,7,1990,1481,2916,4408,6252,34
1417,1,7,1990,1445,2845,4322,6250,34
1362,1,7,1990,1452,2914,4404,6229,34
1350,0,1,1990,1440,2865,4341,6226,34
1334,1,7,1990,1244,2493,3957,6221,34
1308,1,7,1990,1407,2808,4293,6213,34
1294,1,7,1990,1433,2827,4292,6206,34
1264,1,7,1990,1391,2758,4201,6190,34
1205,1,7,1990,1415,2810,4258,6156,34
1195,1,7,1990,1458,2903,4360,6151,34
1156,1,7,1990,1483,2896,4353,6131,34
1147,1,7,1990,1415,2807,4242,6124,34
1138,1,7,1990,1373,2754,4203,6123,34
1086,1,7,1990,1410,2806,4267,6091,34
1073,1,7,1990,1432,2824,4249,6083,34
1050,0,1,1990,1416,2785,4244,6073,34
1042,1,7,1990,1463,2886,4317,6069,34
1039,1,7,1990,1426,2819,4245,6068,34
975,1,7,1990,1316,2661,4187,6018,34
967,1,7,1990,1445,2850,4264,6013,34
945,0,1,1990,1394,2781,4206,5997,34
940,1,7,1990,1302,2604,3996,5995,34
911,1,7,1990,1380,2754,4191,5981,34
901,1,7,1990,1312,2625,4049,5976,34
890,1,7,1990,1375,2685,4081,5972,34
889,1,7,1990,1280,2560,3994,5972,34
883,1,7,1990,1383,2766,4199,5970,34
851,1,7,1990,1397,2750,4163,5948,34
826,1,7,1990,1379,2754,4190,5932,34
819,1,7,1990,1415,2816,4210,5926,34
779,1,7,1990,1410,2764,4147,5903,34
775,1,7,1990,1298,2565,3880,5903,34
757,1,7,1990,1478,2870,4241,5894,34
725,1,7,1990,1261,2515,3868,5876,34
718,1,7,1990,1355,2701,4096,5869,34
715,0,1,1990,1325,2651,4057,5867,34
594,1,7,1990,1315,2598,3967,5733,34
497,1,7,1990,1322,2606,3932,5637,34
495,1,7,1990,1318,2601,3934,5636,34
493,1,7,1990,1314,2610,3964,5635,34
464,1,7,1990,1301,2568,3903,5611,34
460,1,7,1990,1332,2618,3935,5603,34
429,0,1,1990,1241,2474,3807,5566,34
426,1,7,1990,1241,2502,3839,5561,34
327,1,7,1990,1242,2483,3771,5412,34
230,1,7,1990,1236,2437,3688,5298,34
227,1,7,1990,1233,2448,3720,5294,34
223,1,7,1990,1253,2452,3689,5290,34
215,1,7,1990,1239,2449,3703,5273,34
196,1,7,1990,1246,2438,3678,5251,34
177,1,7,1990,1163,2299,3507,5222,34
152,1,7,1990,1175,2351,3578,5145,34
149,0,1,1990,1181,2369,3613,5140,34
139,1,7,1990,1224,2395,3621,5128,34
98,1,7,1990,1103,2223,3436,5022,34
78,1,7,1990,1124,2245,3418,4926,34
74,1,7,1990,1072,2190,3366,4914,34
54,1,7,1990,1094,2178,3334,4865,34
47,0,1,1990,1072,2170,3328,4840,34
21,1,7,1990,1062,2119,3213,4578,34
15,1,7,1990,1037,2080,3166,4533,34
18328,0,1,1989,2299,4824,7622,10970,35
18321,0,1,1989,2244,4754,7474,10942,35
18310,0,1,1989,2426,4900,7533,10856,35
18281,0,1,1989,2322,4770,7381,10744,35
18277,0,1,1989,2370,4907,7487,10711,35
18079,0,1,1989,2372,4648,7080,10078,35
18032,0,1,1989,2220,4507,6913,9953,35
18000,1,7,1989,1994,4015,6314,9879,35
17962,0,1,1989,2199,4437,6781,9810,35
17949,1,7,1989,2085,4200,6551,9783,35
17932,0,1,1989,2275,4488,6766,9761,35
17867,0,1,1989,2106,4172,6477,9666,35
17797,1,7,1989,2149,4296,6631,9580,35
17771,1,7,1989,2300,4417,6741,9555,35
17725,1,7,1989,1881,3925,6444,9477,35
17708,0,1,1989,2053,4244,6558,9449,35
17702,0,1,1989,2174,4279,6494,9445,35
17644,0,1,1989,1985,4110,6327,9370,35
17607,1,7,1989,1985,4088,6349,9333,35
17602,0,1,1989,2302,4661,6797,9326,35
17578,0,1,1989,1943,3867,6145,9301,35
17571,0,1,1989,1903,3913,6205,9293,35
17561,0,1,1989,2016,4042,6162,9286,35
17529,0,1,1989,1960,3996,6220,9246,35
17511,1,7,1989,1924,3973,6292,9233,35
17486,0,1,1989,2026,4047,6256,9204,35
17482,1,7,1989,2182,4256,6446,9199,35
17474,0,1,1989,2178,4253,6443,9195,35
17436,0,1,1989,2094,4252,6438,9161,35
17406,0,1,1989,2006,4081,6295,9125,35
17377,0,1,1989,2033,4066,6263,9105,35
17347,1,7,1989,1912,3923,6164,9074,35
17344,0,1,1989,2108,4195,6418,9069,35
17299,0,1,1989,2137,4232,6393,9034,35
17265,1,7,1989,2013,4082,6124,9011,35
17194,0,1,1989,2039,4061,6231,8963,35
17191,0,1,1989,2042,4097,6278,8961,35
17188,0,1,1989,1817,3790,5955,8960,35
17172,0,1,1989,2129,4202,6324,8946,35
17096,0,1,1989,1845,3769,5904,8898,35
17006,0,1,1989,2088,4091,6168,8842,35
16977,0,1,1989,1976,3983,6116,8824,35
16948,0,1,1989,1956,3913,6060,8810,35
16922,1,7,1989,1796,3671,5819,8792,35
16914,1,7,1989,2019,3964,6017,8783,35
16847,1,7,1989,1821,3641,5739,8737,35
16829,0,1,1989,2061,4050,6145,8723,35
16676,1,7,1989,1959,3934,5994,8630,35
16503,0,1,1989,1871,3782,5841,8531,35
16480,0,1,1989,1829,3686,5758,8518,35
16412,1,7,1989,1877,3739,5751,8488,35
16400,0,1,1989,2010,3982,5994,8478,35
16326,0,1,1989,1901,3840,5908,8444,35
16234,1,7,1989,1973,3865,5843,8399,35
16222,1,7,1989,1750,3480,5479,8394,35
16176,0,1,1989,1948,3906,5867,8372,35
16154,0,1,1989,1876,3709,5730,8359,35
16149,1,7,1989,2002,3929,5919,8354,35
16126,1,7,1989,1883,3789,5793,8346,35
16125,1,7,1989,1854,3677,5704,8344,35
16079,1,7,1989,1619,3180,5120,8325,35
16074,1,7,1989,1708,3445,5343,8324,35
16006,0,1,1989,1909,3732,5663,8291,35
15953,1,7,1989,1861,3614,5497,8267,35
15948,0,1,1989,1876,3754,5741,8266,35
15902,1,7,1989,1969,3930,5938,8244,35
15848,1,7,1989,1898,3714,5730,8219,35
15837,0,1,1989,1884,3702,5633,8217,35
15788,0,1,1989,1984,3877,5845,8197,35
15754,1,7,1989,1795,3536,5428,8183,35
15717,1,7,1989,1837,3609,5485,8169,35
15697,0,1,1989,1896,3776,5752,8163,35
15662,1,7,1989,1698,3539,5622,8150,35
15595,0,1,1989,1901,3808,5736,8118,35
15484,0,1,1989,1783,3584,5516,8070,35
15473,0,1,1989,1867,3657,5559,8065,35
15420,1,7,1989,1991,3838,5766,8046,35
15377,1,7,1989,1641,3323,5189,8027,35
15350,1,7,1989,1833,3523,5428,8018,35
15288,1,7,1989,1794,3553,5480,7992,35
15284,0,1,1989,1794,3553,5480,7991,35
15170,1,7,1989,1652,3384,5329,7943,35
15167,0,1,1989,2001,3818,5687,7941,35
15111,0,1,1989,1862,3659,5530,7920,35
15099,0,1,1989,1920,3798,5685,7916,35
15086,1,7,1989,1711,3434,5274,7909,35
15043,1,7,1989,1850,3666,5527,7898,35
14998,0,1,1989,1686,3443,5376,7879,35
14987,1,7,1989,1683,3439,5373,7877,35
14985,1,7,1989,1832,3581,5462,7876,35
14982,0,1,1989,1751,3443,5346,7875,35
14944,0,1,1989,1871,3645,5494,7864,35
14940,1,7,1989,1767,3475,5305,7864,35
14917,0,1,1989,1749,3509,5391,7858,35
14832,0,1,1989,1896,3701,5552,7829,35
14802,0,1,1989,1719,3478,5427,7822,35
14797,0,1,1989,1834,3636,5487,7820,35
14666,1,7,1989,1848,3609,5435,7776,35
14625,1,7,1989,1530,3215,5124,7764,35
14440,1,7,1989,1808,3581,5331,7701,35
14405,0,1,1989,1831,3581,5375,7689,35
14360,0,1,1989,1845,3633,5500,7674,35
14319,1,7,1989,1840,3570,5376,7661,35
14316,1,7,1989,1629,3272,5267,7659,35
14279,0,1,1989,1726,3440,5308,7648,35
14265,1,7,1989,1743,3434,5208,7644,35
14236,0,1,1989,1734,3463,5291,7637,35
14202,0,1,1989,1690,3424,5283,7623,35
14194,1,7,1989,1579,3285,5198,7622,35
14192,0,1,1989,1652,3365,5212,7621,35
14167,0,1,1989,1680,3397,5228,7615,35
14117,0,1,1989,1715,3430,5262,7600,35
14116,1,7,1989,1685,3435,5333,7600,35
14096,1,7,1989,1985,3692,5444,7592,35
14034,1,7,1989,1753,3430,5189,7571,35
14000,0,1,1989,1701,3429,5255,7560,35
13936,1,7,1989,1878,3569,5318,7544,35
13929,1,7,1989,1824,3556,5365,7540,35
13925,0,1,1989,1724,3412,5225,7539,35
13913,0,1,1989,1770,3489,5313,7534,35
13873,1,7,1989,1854,3639,5423,7527,35
13808,1,7,1989,1598,3306,5163,7508,35
13776,1,7,1989,1773,3473,5264,7498,35
13746,1,7,1989,1736,3455,5274,7487,35
13669,1,7,1989,1652,3275,5123,7455,35
13662,1,7,1989,1780,3456,5197,7452,35
13654,1,7,1989,1777,3454,5196,7450,35
13630,1,7,1989,1568,3267,5080,7441,35
13569,0,1,1989,1690,3372,5120,7418,35
13551,1,7,1989,1721,3409,5160,7412,35
13526,1,7,1989,1535,3176,4960,7398,35
13505,1,7,1989,1763,3420,5198,7392,35
13504,1,7,1989,1737,3440,5188,7392,35
13502,1,7,1989,1595,3155,4965,7391,35
13499,1,7,1989,1762,3474,5200,7390,35
13457,0,1,1989,1721,3390,5157,7377,35
13431,1,7,1989,1669,3376,5169,7370,35
13414,1,7,1989,1713,3401,5150,7366,35
13356,0,1,1989,1790,3482,5213,7347,35
13345,1,7,1989,1707,3427,5144,7344,35
13338,1,7,1989,1478,3052,4897,7341,35
13337,1,7,1989,1701,3386,5196,7341,35
13262,1,7,1989,1721,3372,5106,7311,35
13232,0,1,1989,1774,3471,5224,7301,35
13228,1,7,1989,1597,3191,4950,7299,35
13226,1,7,1989,1752,3405,5127,7299,35
13158,0,1,1989,1637,3294,5068,7278,35
13061,1,7,1989,1712,3382,5108,7251,35
12958,1,7,1989,1704,3393,5132,7219,35
12915,1,7,1989,1730,3383,5078,7208,35
12873,0,1,1989,1659,3247,4962,7200,35
12848,1,7,1989,1591,3205,4923,7196,35
12824,1,7,1989,1539,3081,4837,7191,35
12812,0,1,1989,1719,3374,5098,7189,35
12802,1,7,1989,1650,3208,4849,7187,35
12779,1,7,1989,1691,3331,5060,7184,35
12755,1,7,1989,1659,3311,4992,7181,35
12725,1,7,1989,1686,3325,5036,7174,35
12724,0,1,1989,1620,3309,5050,7174,35
12702,1,7,1989,1682,3343,5056,7169,35
12689,1,7,1989,1556,3170,4903,7167,35
12620,1,7,1989,1737,3369,5065,7153,35
12599,1,7,1989,1668,3318,5021,7149,35
12553,1,7,1989,1686,3326,5021,7137,35
12538,1,7,1989,1687,3308,5017,7132,35
12521,1,7,1989,1696,3445,5109,7127,35
12476,1,7,1989,1584,3181,4870,7115,35
12417,0,1,1989,1691,3338,5032,7103,35
12401,1,7,1989,1728,3357,5042,7099,35
12329,0,1,1989,1630,3220,4912,7084,35
12298,1,7,1989,1535,3105,4825,7074,35
12228,1,7,1989,1536,3170,4889,7059,35
12194,1,7,1989,1670,3318,4988,7050,35
12164,0,1,1989,1727,3337,5002,7040,35
12137,1,7,1989,1534,3029,4694,7035,35
12113,1,7,1989,1536,3057,4693,7027,35
11956,1,7,1989,1693,3310,5006,6989,35
11909,1,7,1989,1544,3158,4835,6974,35
11890,1,7,1989,1571,3121,4743,6969,35
11885,0,1,1989,1598,3211,4890,6967,35
11875,1,7,1989,1645,3239,4893,6966,35
11851,1,7,1989,1483,3062,4686,6960,35
11805,1,7,1989,1651,3177,4876,6950,35
11747,1,7,1989,1685,3293,4925,6934,35
11731,1,7,1989,1614,3206,4868,6929,35
11663,1,7,1989,1418,3020,4731,6917,35
11642,1,7,1989,1626,3266,4937,6912,35
11621,0,1,1989,1596,3191,4837,6907,35
11615,1,7,1989,1650,3237,4900,6906,35
11559,1,7,1989,1679,3264,4896,6889,35
11518,1,7,1989,1528,3040,4660,6877,35
11503,1,7,1989,1474,2918,4434,6873,35
11489,0,1,1989,1650,3187,4791,6870,35
11488,1,7,1989,1596,3190,4836,6869,35
11487,1,7,1989,1480,2947,4546,6869,35
11475,1,7,1989,1505,3077,4728,6866,35
11464,1,7,1989,1497,3005,4679,6862,35
11448,0,1,1989,1616,3176,4822,6857,35
11446,1,7,1989,1440,2875,4527,6857,35
11440,0,1,1989,1651,3260,4875,6855,35
11381,0,1,1989,1663,3302,4965,6836,35
11378,1,7,1989,1598,3188,4833,6836,35
11370,1,7,1989,1479,2988,4702,6833,35
11367,0,1,1989,1512,3005,4655,6832,35
11331,1,7,1989,1616,3160,4768,6822,35
11315,0,1,1989,1513,2984,4620,6819,35
11308,1,7,1989,1627,3195,4812,6816,35
11299,1,7,1989,1580,3137,4771,6814,35
11259,0,1,1989,1560,3084,4695,6802,35
11258,1,7,1989,1577,3108,4714,6801,35
11257,1,7,1989,1560,3141,4769,6801,35
11234,0,1,1989,1590,3130,4759,6793,35
11215,1,7,1989,1528,3046,4640,6786,35
11199,1,7,1989,1556,3074,4650,6778,35
11032,1,7,1989,1587,3099,4685,6722,35
11008,1,7,1989,1650,3216,4840,6715,35
10968,0,1,1989,1583,3127,4725,6702,35
10952,0,1,1989,1542,3059,4671,6698,35
10906,0,1,1989,1543,3045,4642,6682,35
10897,1,7,1989,1558,3106,4684,6680,35
10863,1,7,1989,1595,3068,4627,6667,35
10814,1,7,1989,1569,3066,4592,6647,35
10809,1,7,1989,1607,3173,4757,6646,35
10754,1,7,1989,1526,3036,4621,6626,35
10717,1,7,1989,1493,2951,4532,6612,35
10695,1,7,1989,1509,2990,4550,6605,35
10681,1,7,1989,1466,3024,4634,6598,35
10680,1,7,1989,1478,2941,4519,6598,35
10667,1,7,1989,1459,2974,4555,6595,35
10661,1,7,1989,1466,2915,4481,6593,35
10604,1,7,1989,1541,3057,4584,6579,35
10507,0,1,1989,1494,2963,4491,6548,35
10439,0,1,1989,1564,3064,4605,6530,35
10438,1,7,1989,1574,3071,4624,6530,35
10283,1,7,1989,1429,2858,4419,6475,35
10250,0,1,1989,1519,2970,4478,6461,35
10249,1,7,1989,1336,2795,4399,6461,35
10239,1,7,1989,1561,3077,4616,6457,35
10220,1,7,1989,1521,3005,4530,6449,35
10216,1,7,1989,1567,3056,4575,6448,35
10212,1,7,1989,1596,3086,4636,6448,35
10146,1,7,1989,1513,2968,4492,6424,35
10125,0,1,1989,1518,2979,4500,6412,35
10124,0,1,1989,1518,2979,4476,6410,35
10122,1,7,1989,1484,2918,4428,6410,35
10070,1,7,1989,1464,2895,4432,6393,35
10057,1,7,1989,1493,2934,4430,6389,35
9992,1,7,1989,1567,3039,4535,6371,35
9960,1,7,1989,1453,2857,4371,6356,35
9927,1,7,1989,1475,2925,4434,6340,35
9887,1,7,1989,1529,2949,4423,6325,35
9851,1,7,1989,1508,2966,4480,6315,35
9803,1,7,1989,1415,2848,4394,6300,35
9794,0,1,1989,1467,2918,4429,6297,35
9792,1,7,1989,1450,2885,4391,6296,35
9782,1,7,1989,1460,2891,4380,6293,35
9751,1,7,1989,1456,2876,4367,6286,35
9704,1,7,1989,1465,2912,4408,6268,35
9678,0,1,1989,1489,2912,4409,6255,35
9665,1,7,1989,1502,2932,4404,6250,35
9662,1,7,1989,1471,2891,4387,6249,35
9661,0,1,1989,1443,2872,4360,6249,35
9656,1,7,1989,1399,2773,4270,6248,35
9631,1,7,1989,1483,2908,4392,6239,35
9599,1,7,1989,1347,2679,4200,6223,35
9587,1,7,1989,1439,2852,4316,6220,35
9542,1,7,1989,1513,2927,4388,6202,35
9541,1,7,1989,1335,2699,4251,6201,35
9432,1,7,1989,1419,2796,4238,6140,35
9355,1,7,1989,1460,2840,4285,6092,35
9344,1,7,1989,1386,2763,4205,6087,35
9309,1,7,1989,1459,2878,4310,6066,35
9262,1,7,1989,1442,2871,4299,6046,35
9232,1,7,1989,1339,2737,4201,6032,35
9208,1,7,1989,1482,2915,4329,6018,35
9074,1,7,1989,1414,2774,4170,5957,35
9069,1,7,1989,1465,2805,4201,5956,35
9045,1,7,1989,1302,2570,3967,5948,35
9037,1,7,1989,1425,2803,4219,5944,35
9004,1,7,1989,1352,2694,4105,5926,35
8938,1,7,1989,1365,2715,4117,5878,35
8934,1,7,1989,1329,2659,4053,5877,35
8920,0,1,1989,1363,2699,4086,5873,35
8914,1,7,1989,1332,2672,4123,5870,35
8901,1,7,1989,1385,2727,4129,5862,35
8898,1,7,1989,1383,2725,4129,5861,35
8892,1,7,1989,1385,2728,4130,5856,35
8817,1,7,1989,1393,2726,4085,5794,35
8803,1,7,1989,1380,2706,4078,5778,35
8797,1,7,1989,1302,2562,3928,5775,35
8781,1,7,1989,1340,2644,4007,5763,35
8725,1,7,1989,1316,2602,3948,5705,35
8722,1,7,1989,1369,2689,4078,5702,35
8708,1,7,1989,1335,2636,4000,5693,35
8705,1,7,1989,1348,2652,4006,5690,35
8678,1,7,1989,1308,2571,3903,5672,35
8606,1,7,1989,1263,2538,3901,5624,35
8605,1,7,1989,1337,2628,3969,5623,35
8595,1,7,1989,1318,2593,3931,5616,35
8558,1,7,1989,1279,2514,3858,5584,35
8536,1,7,1989,1276,2541,3888,5564,35
8533,1,7,1989,1277,2506,3784,5560,35
8523,1,7,1989,1332,2586,3893,5545,35
8513,1,7,1989,1245,2471,3763,5530,35
8463,1,7,1989,1256,2473,3784,5481,35
8460,1,7,1989,1278,2518,3820,5478,35
8456,1,7,1989,1276,2504,3798,5466,35
8449,1,7,1989,1272,2505,3780,5454,35
8436,1,7,1989,1275,2601,3867,5438,35
